Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
sibling,English,Arabic,sibling,الأخوة,sibling: brother or sister,الأخوة: أخ أو أخت
grandchild,English,Arabic,grandchild,الحفيد,grandchild: child of son or daughter,الحفيد: ولد الابن أو الابنة
brother's son,Mandarin,Arabic,侄子,ابن الأخ,侄子: 兄弟的儿子,ابن الأخ : ابن الأخ
son's daughter,Mandarin,Arabic,孙女,الحفيدة,孙女: 儿子的女儿,الحفيدة: بنت الابن
elder sister,Mandarin,Arabic,姐姐,الأخت,姐姐: 更年长的姐妹,الأخت : الأخت الكبرى
daughter's son,Mandarin,Arabic,外孙,الحفيد,外孙: 女儿的儿子,الحفيد : ابن الابنة
"elder, daughter of mother's sibling",Mandarin,Arabic,表姐,ابنة العم,表姐: 更年长的女性表亲,ابنة العم: ابنة عم أكبر سنا
sister's son,Mandarin,Arabic,外甥,ابن الأخ,外甥: 姐妹的儿子,ابن الأخ : ابن الأخت
"younger, daughter of father's brother",Mandarin,Arabic,堂妹,ابن العم,堂妹: 更年轻的女性堂亲,ابن العم: ابنة عم أصغر سنا
paternal grandmother,Mandarin,Arabic,祖母,الجدة,祖母: 爸爸的妈妈,الجدة: والدة أبي
"younger, daughter of mother's sibling",Mandarin,Arabic,表妹,ابن العم,表妹: 更年轻的女性表亲,ابن العم: ابنة عم أصغر سنا
"elder, son of father's brother",Mandarin,Arabic,堂哥,ابن عم,堂哥: 更年长的男性堂亲,ابن عم: ابن عم أكبر سنا
son's son,Mandarin,Arabic,孙子,الحفيد,孙子: 儿子的儿子,الحفيد : ابن الابن
sister's daughter,Mandarin,Arabic,甥女,ابنة الأخت,甥女: 姐妹的女儿,ابنة الأخت: ابنة الأخت
younger sister,Mandarin,Arabic,妹妹,الأخت,妹妹: 更年轻的姐妹,الأخت: الأخت الصغرى
daughter's daughter,Mandarin,Arabic,外孙女,الحفيدة,外孙女: 女儿的女儿,الحفيدة: ابنة الابنة
brother's daughter,Mandarin,Arabic,侄女,ابنة الأخ,侄女: 兄弟的女儿,ابنة الأخ : ابنة الأخ
paternal grandfather,Mandarin,Arabic,祖父,الجد,祖父: 爸爸的爸爸,الجد : أبو أبي
maternal grandfather,Mandarin,Arabic,外祖父,الجد,外祖父: 妈妈的爸爸,الجد : والد أمي
"elder, son of mother's sibling",Mandarin,Arabic,表哥,ابن عم,表哥: 更年长的男性表亲,ابن عم: ابن عم أكبر سنا
elder brother,Mandarin,Arabic,哥哥,الأخ,哥哥: 更年长的兄弟,الأخ : الأخ الأكبر
maternal grandmother,Mandarin,Arabic,外祖母,الجدة,外祖母: 妈妈的妈妈,الجدة: والدة أمي
"elder, daughter of father's brother",Mandarin,Arabic,堂姐,ابن العم,堂姐: 更年长的女性堂亲,ابن العم: ابنة عم أكبر سنا
younger brother,Mandarin,Arabic,弟弟,الأخ,弟弟: 更年幼的兄弟,الأخ: الأخ الأصغر
"younger, son of father's brother",Mandarin,Arabic,堂弟,ابن العم,堂弟: 更年幼的男性堂亲,ابن العم: ابن عم أصغر منه
"younger, son of mother's sibling",Mandarin,Arabic,表弟,ابن العم,表弟: 更年轻的男性表亲,ابن العم: ابن عم أصغر منه
maternal aunt,Mandarin,Arabic,姨妈,العمة,姨妈: 妈妈的姐妹,العمة: أخت الأم
paternal aunt,Mandarin,Arabic,姑姑,العمة,姑姑: 爸爸的姐妹,العمة : أخت أبي
maternal uncle,Mandarin,Arabic,舅舅,العم,舅舅: 妈妈的兄弟,العم : أخو أمي
paternal grandparent,Mandarin,Arabic,祖父母,الأجداد,祖父母: 爸爸的父母,الأجداد: والدا أبي
maternal grandparent,Mandarin,Arabic,外祖父母,الأجداد,外祖父母: 妈妈的父母,الأجداد: والدا أمي
father's younger brother,Mandarin,Arabic,叔叔,العم,叔叔: 爸爸的弟弟,العم: الأخ الأصغر لأبي
father's elder brother,Mandarin,Arabic,伯伯,العم,伯伯: 爸爸的哥哥,العم : أخو أبي
cousin,English,Arabic,cousin,ابن العم,cousin: child of your aunt or uncle,ابن العم: ابن عمتك أو عمك
grandson,English,Arabic,grandson,الحفيد,grandson: male grandchild,الحفيد : الحفيد الذكر
granddaughter,English,Arabic,granddaughter,الحفيدة,granddaughter: female grandchild,الحفيدة: حفيدة الأنثى
grandparent,English,Arabic,grandparent,الجد,grandparent: parent of your father or mother,الجد : والد والدك أو والدتك
grandfather,English,Arabic,grandfather,الجد,grandfather: father of your father or mother,الجد : والد أبيك أو والدتك
grandmother,English,Arabic,grandmother,الجدة,grandmother: mother of your father or mother,الجدة: أم أبيك أو أمك
nephew,English,Arabic,nephew,ابن الأخ,nephew: son of your brother or sister,ابن الأخ: ابن أخيك أو أختك
niece,English,Arabic,niece,ابنة الأخت,niece: daughter of your brother or sister,ابنة الأخت: ابنة أخيك أو أختك
uncle,English,Arabic,uncle,العم,uncle: brother of your father or mother,العم : أخ أبيك أو أمك
aunt,English,Arabic,aunt,العمة,aunt: sister of your father or mother,العمة: أخت أبيك أو والدتك
brother,English,Arabic,brother,الأخ,brother: males with the same parents as you,الأخ: الذكور من نفس والديك
sister,English,Arabic,sister,الأخت,sister: females with the same parents as you,الأخت: إناث من نفس والديك
paternal uncle,Polish,Arabic,stryjek,العم,stryjek: wujka ze strony ojca,العم : عم من جهة الأب
female cousin,Spanish,Arabic,prima,ابنة العم,prima: hija de tía o tío,ابنة العم: ابنة العمة أو العم
male cousin,Spanish,Arabic,primo,ابن العم,primo: hijo de tía o tío,ابن العم: ابن العمة أو العم
son of father's brother,Persian,Arabic,پسرعمو‎,ابن العم,پسرعمو‎: پسر برادر پدر‎,ابن العم : ابن شقيق الأب
daughter of father's brother,Persian,Arabic,دخترعمو‎,ابن العم,دخترعمو‎: دختر برادر پدر‎,ابن العم : بنت أخ الأب
son of father's sister,Persian,Arabic,پسرعمه‎,ابن العم,پسرعمه‎: پسر خواهر پدر‎,ابن العم : ابن أخت الأب
daughter of father's sister,Persian,Arabic,دخترعمه‎,ابن العم,دخترعمه‎: دختر خواهر پدر‎,ابن العم : بنت أخت الأب
son of mother's brother,Persian,Arabic,پسردائی‎,ابن العم,پسردائی‎: پسر برادر مادر‎,ابن العم: ابن شقيق الأم
daughter of mother's brother,Persian,Arabic,دختردائی‎,الكنة,دختردائی‎: دختر برادر مادر‎,الكنة: ابنة شقيق الأم
son of mother's sister,Persian,Arabic,پسرخاله‎,ابن العم,پسرخاله‎: پسر خواهر مادر‎,ابن العم : ابن أخت الأم
daughter of mother's sister,Persian,Arabic,دخترخاله‎,العمة,دخترخاله‎: دختر خواهر مادر‎,العمة : بنت أخت الأم
child of father's brother,Turkish,Arabic,amcaçocuğu,ابن العم,amcaçocuğu: babanın erkek kardeşinin çocuğu,ابن العم: ابن أخ الأب
child of father's sister,Turkish,Arabic,halaçocuğu,ولد العمة,halaçocuğu: babanın kız kardeşinin çocuğu,ولد العمة : ولد أخت الأب
child of mother's brother,Turkish,Arabic,dayıçocuğu,ولد الخال,dayıçocuğu: annenin erkek kardeşinin çocuğu,ولد الخال : ولد أخي الأم
child of mother's sister,Turkish,Arabic,teyzeçocuğu,ولد العمة,teyzeçocuğu: annenin kız kardeşinin çocuğu,ولد العمة : ولد أخت الأم
nibling,Turkish,Arabic,yeğen,ابن الأخ,yeğen: erkek veya kız kardeşinizin çocuğu,ابن الأخ : ولد أخيك أو أختك
elder male cousin,Japanese,Arabic,従兄,ابن عم,従兄: 年上の男性のいとこ,ابن عم: ابن عم أكبر سنا
younger male cousin,Japanese,Arabic,従弟,ابن عم,従弟: 年下の男性のいとこ,ابن عم: ابن عم أصغر سنا
elder female cousin,Japanese,Arabic,従姉,ابن عم,従姉: 年上の女性のいとこ,ابن عم: ابنة عم أكبر سنا
younger female cousin,Japanese,Arabic,従妹,ابنة عم,従妹: 年下の女性のいとこ,ابنة عم: ابنة عم أصغر سنا
son of parent's brother,Estonian,Arabic,onupoeg,ابن العم,onupoeg: lapsevanema venna poeg,ابن العم: ابن أخ الأبوين
daughter of parent's brother,Estonian,Arabic,onutütar,ابنة العم,onutütar: lapsevanema venna tütar,ابنة العم: ابنة أخ الوالدين
son of parent's sister,Estonian,Arabic,tädipoeg,ابن العم,tädipoeg: lapsevanema õe poeg,ابن العم: ابن أخت الأبوين
daughter of parent's sister,Estonian,Arabic,täditütar,ابنة الأخت,täditütar: lapsevanema õe tütar,ابنة الأخت: ابنة أخت الأبوين
younger sibling,Korean,Arabic,동생,الأخ الأصغر,동생: 남동생이나여동생,الأخ الأصغر: الأخ الأصغر أو الأخت الأصغر
elder sibling,Hungarian,Arabic,nagytestvér,الأخ الأكبر,nagytestvér: idősebb testvér vagy idősebb nővér,الأخ الأكبر: الأخ الأكبر أو الأخت الكبرى
