Concept,Result
sibling,Fail
grandchild,Fail
brother's son,Success
son's daughter,Success
elder sister,Success
daughter's son,Fail
"elder, daughter of mother's sibling",Fail
sister's son,Fail
"younger, daughter of father's brother",Fail
paternal grandmother,Success
"younger, daughter of mother's sibling",Fail
"elder, son of father's brother",Fail
son's son,Success
sister's daughter,Fail
younger sister,Success
daughter's daughter,Fail
brother's daughter,Success
paternal grandfather,Success
maternal grandfather,Fail
"elder, son of mother's sibling",Fail
elder brother,Fail
maternal grandmother,Fail
"elder, daughter of father's brother",Fail
younger brother,Fail
"younger, son of father's brother",Fail
"younger, son of mother's sibling",Success
maternal aunt,Success
paternal aunt,Fail
maternal uncle,Fail
paternal grandparent,Success
maternal grandparent,Fail
father's younger brother,Success
father's elder brother,Fail
cousin,Success
grandson,Success
granddaughter,Success
grandparent,Fail
grandfather,Success
grandmother,Success
nephew,Success
niece,Success
uncle,Success
aunt,Success
brother,Success
sister,Success
paternal uncle,Fail
female cousin,Success
male cousin,Success
son of father's brother,Fail
daughter of father's brother,Fail
son of father's sister,Fail
daughter of father's sister,Fail
son of mother's brother,Fail
daughter of mother's brother,Fail
son of mother's sister,Fail
daughter of mother's sister,Fail
child of father's brother,Fail
child of father's sister,Fail
child of mother's brother,Fail
child of mother's sister,Fail
nibling,Success
elder male cousin,Fail
younger male cousin,Fail
elder female cousin,Fail
younger female cousin,Fail
son of parent's brother,Fail
daughter of parent's brother,Fail
son of parent's sister,Fail
daughter of parent's sister,Fail
younger sibling,Fail
elder sibling,Fail
