Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
sibling,English,Russian,sibling,брат,sibling: brother or sister,брат: брат или сестра
grandchild,English,Russian,grandchild,внук,grandchild: child of son or daughter,внук: ребенок сына или дочери
brother's son,Mandarin,Russian,侄子,племянник,侄子: 兄弟的儿子,племянник: сын брата
son's daughter,Mandarin,Russian,孙女,внучка,孙女: 儿子的女儿,внучка: дочь сына
elder sister,Mandarin,Russian,姐姐,сестра,姐姐: 更年长的姐妹,сестра: старшая сестра
daughter's son,Mandarin,Russian,外孙,внук,外孙: 女儿的儿子,внук: сын дочери
"elder, daughter of mother's sibling",Mandarin,Russian,表姐,двоюродный брат,表姐: 更年长的女性表亲,двоюродный брат: старшая двоюродная сестра
sister's son,Mandarin,Russian,外甥,племянник,外甥: 姐妹的儿子,племянник: сын сестры
"younger, daughter of father's brother",Mandarin,Russian,堂妹,двоюродная сестра,堂妹: 更年轻的女性堂亲,двоюродная сестра: младшая двоюродная сестра.
paternal grandmother,Mandarin,Russian,祖母,бабушка,祖母: 爸爸的妈妈,бабушка: мама папы
"younger, daughter of mother's sibling",Mandarin,Russian,表妹,двоюродная сестра,表妹: 更年轻的女性表亲,двоюродная сестра: младшая двоюродная сестра.
"elder, son of father's brother",Mandarin,Russian,堂哥,двоюродный брат,堂哥: 更年长的男性堂亲,двоюродный брат: старший двоюродный брат мужского пола
son's son,Mandarin,Russian,孙子,внук,孙子: 儿子的儿子,внук: сын сына
sister's daughter,Mandarin,Russian,甥女,племянница,甥女: 姐妹的女儿,племянница: дочь сестры
younger sister,Mandarin,Russian,妹妹,сестра,妹妹: 更年轻的姐妹,сестра: младшая сестра
daughter's daughter,Mandarin,Russian,外孙女,внучка,外孙女: 女儿的女儿,внучка: дочь дочери
brother's daughter,Mandarin,Russian,侄女,племянница,侄女: 兄弟的女儿,племянница: дочь брата
paternal grandfather,Mandarin,Russian,祖父,дедушка,祖父: 爸爸的爸爸,дедушка: папин папа
maternal grandfather,Mandarin,Russian,外祖父,дедушка,外祖父: 妈妈的爸爸,дедушка: папа мамы
"elder, son of mother's sibling",Mandarin,Russian,表哥,двоюродный брат,表哥: 更年长的男性表亲,двоюродный брат: старший двоюродный брат мужского пола
elder brother,Mandarin,Russian,哥哥,брат,哥哥: 更年长的兄弟,брат: старший брат
maternal grandmother,Mandarin,Russian,外祖母,бабушка,外祖母: 妈妈的妈妈,бабушка: мама мамы
"elder, daughter of father's brother",Mandarin,Russian,堂姐,двоюродный брат,堂姐: 更年长的女性堂亲,двоюродный брат: старшая двоюродная сестра.
younger brother,Mandarin,Russian,弟弟,брат,弟弟: 更年幼的兄弟,брат: младший брат
"younger, son of father's brother",Mandarin,Russian,堂弟,двоюродный брат,堂弟: 更年幼的男性堂亲,двоюродный брат: младший двоюродный брат мужского пола.
"younger, son of mother's sibling",Mandarin,Russian,表弟,двоюродный брат,表弟: 更年轻的男性表亲,двоюродный брат: младший двоюродный брат мужского пола.
maternal aunt,Mandarin,Russian,姨妈,тётя,姨妈: 妈妈的姐妹,тётя: сестра матери
paternal aunt,Mandarin,Russian,姑姑,тётя,姑姑: 爸爸的姐妹,тётя: папина сестра
maternal uncle,Mandarin,Russian,舅舅,дядя,舅舅: 妈妈的兄弟,дядя: брат мамы
paternal grandparent,Mandarin,Russian,祖父母,бабушка и дедушка,祖父母: 爸爸的父母,бабушка и дедушка: родители папы
maternal grandparent,Mandarin,Russian,外祖父母,бабушка и дедушка,外祖父母: 妈妈的父母,бабушка и дедушка: родители мамы
father's younger brother,Mandarin,Russian,叔叔,дядя,叔叔: 爸爸的弟弟,дядя: младший брат папы
father's elder brother,Mandarin,Russian,伯伯,дядя,伯伯: 爸爸的哥哥,дядя: брат папы
cousin,English,Russian,cousin,двоюродный брат,cousin: child of your aunt or uncle,двоюродный брат: ребенок твоей тети или дяди
grandson,English,Russian,grandson,внук,grandson: male grandchild,внук: внук мужского пола
granddaughter,English,Russian,granddaughter,внучка,granddaughter: female grandchild,внучка: внучка женского пола
grandparent,English,Russian,grandparent,бабушка и дедушка,grandparent: parent of your father or mother,бабушка и дедушка: родитель вашего отца или матери
grandfather,English,Russian,grandfather,дедушка,grandfather: father of your father or mother,дедушка: отец твоего отца или матери
grandmother,English,Russian,grandmother,бабушка,grandmother: mother of your father or mother,бабушка: мать твоего отца или матери
nephew,English,Russian,nephew,племянник,nephew: son of your brother or sister,племянник: сын твоего брата или сестры
niece,English,Russian,niece,племянница,niece: daughter of your brother or sister,племянница: дочь твоего брата или сестры
uncle,English,Russian,uncle,дядя,uncle: brother of your father or mother,дядя: брат твоего отца или матери
aunt,English,Russian,aunt,тетя,aunt: sister of your father or mother,тетя: сестра твоего отца или матери
brother,English,Russian,brother,брат,brother: males with the same parents as you,"брат: мужчины с такими же родителями, как и ты"
sister,English,Russian,sister,сестра,sister: females with the same parents as you,"сестра: женщины, у которых такие же родители, как у тебя"
paternal uncle,Polish,Russian,stryjek,дядя,stryjek: wujka ze strony ojca,дядя: дядя по отцовской линии
female cousin,Spanish,Russian,prima,двоюродная сестра,prima: hija de tía o tío,двоюродная сестра: дочь тети или дяди
male cousin,Spanish,Russian,primo,двоюродный брат,primo: hijo de tía o tío,двоюродный брат: сын тети или дяди
son of father's brother,Persian,Russian,پسرعمو‎,двоюродный брат,پسرعمو‎: پسر برادر پدر‎,двоюродный брат: сын брата отца
daughter of father's brother,Persian,Russian,دخترعمو‎,двоюродная сестра,دخترعمو‎: دختر برادر پدر‎,двоюродная сестра: дочь брата отца
son of father's sister,Persian,Russian,پسرعمه‎,двоюродный брат,پسرعمه‎: پسر خواهر پدر‎,двоюродный брат: сын сестры отца
daughter of father's sister,Persian,Russian,دخترعمه‎,двоюродная сестра,دخترعمه‎: دختر خواهر پدر‎,двоюродная сестра: дочь сестры отца
son of mother's brother,Persian,Russian,پسردائی‎,двоюродный брат,پسردائی‎: پسر برادر مادر‎,двоюродный брат: сын брата матери
daughter of mother's brother,Persian,Russian,دختردائی‎,невестка,دختردائی‎: دختر برادر مادر‎,невестка: дочь брата матери
son of mother's sister,Persian,Russian,پسرخاله‎,двоюродный брат,پسرخاله‎: پسر خواهر مادر‎,двоюродный брат: сын сестры матери
daughter of mother's sister,Persian,Russian,دخترخاله‎,тётя,دخترخاله‎: دختر خواهر مادر‎,тётя: дочь сестры матери
child of father's brother,Turkish,Russian,amcaçocuğu,двоюродный брат,amcaçocuğu: babanın erkek kardeşinin çocuğu,двоюродный брат: ребенок брата отца
child of father's sister,Turkish,Russian,halaçocuğu,ребенок тети,halaçocuğu: babanın kız kardeşinin çocuğu,ребенок тети: ребенок сестры отца
child of mother's brother,Turkish,Russian,dayıçocuğu,ребенок дяди по материнской линии,dayıçocuğu: annenin erkek kardeşinin çocuğu,ребенок дяди по материнской линии: ребенок брата матери
child of mother's sister,Turkish,Russian,teyzeçocuğu,ребенок тети,teyzeçocuğu: annenin kız kardeşinin çocuğu,ребенок тети: ребенок сестры матери
nibling,Turkish,Russian,yeğen,племянник,yeğen: erkek veya kız kardeşinizin çocuğu,племянник: ребенок твоего брата или сестры
elder male cousin,Japanese,Russian,従兄,двоюродный брат,従兄: 年上の男性のいとこ,двоюродный брат: старший двоюродный брат мужского пола
younger male cousin,Japanese,Russian,従弟,двоюродный брат,従弟: 年下の男性のいとこ,двоюродный брат: младший двоюродный брат мужского пола
