Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
sibling,English,Spanish,sibling,hermano,sibling: brother or sister,hermano: hermano o hermana
grandchild,English,Spanish,grandchild,nieto,grandchild: child of son or daughter,nieto: hijo de hijo o hija
brother's son,Mandarin,Spanish,侄子,sobrino,侄子: 兄弟的儿子,sobrino: hijo de hermano
son's daughter,Mandarin,Spanish,孙女,nieta,孙女: 儿子的女儿,nieta: hija del hijo
elder sister,Mandarin,Spanish,姐姐,hermana,姐姐: 更年长的姐妹,hermana: hermana mayor
daughter's son,Mandarin,Spanish,外孙,nieto,外孙: 女儿的儿子,nieto: hijo de la hija
"elder, daughter of mother's sibling",Mandarin,Spanish,表姐,prima,表姐: 更年长的女性表亲,prima: una prima mayor
sister's son,Mandarin,Spanish,外甥,sobrino,外甥: 姐妹的儿子,sobrino: hijo de la hermana
"younger, daughter of father's brother",Mandarin,Spanish,堂妹,prima,堂妹: 更年轻的女性堂亲,prima: una prima más joven.
paternal grandmother,Mandarin,Spanish,祖母,abuela,祖母: 爸爸的妈妈,abuela: la madre de papá.
"younger, daughter of mother's sibling",Mandarin,Spanish,表妹,prima,表妹: 更年轻的女性表亲,prima: una prima más joven.
"elder, son of father's brother",Mandarin,Spanish,堂哥,primo,堂哥: 更年长的男性堂亲,primo: un primo mayor
son's son,Mandarin,Spanish,孙子,nieto,孙子: 儿子的儿子,nieto: hijo de hijo
sister's daughter,Mandarin,Spanish,甥女,sobrina,甥女: 姐妹的女儿,sobrina: hija de la hermana
younger sister,Mandarin,Spanish,妹妹,hermana,妹妹: 更年轻的姐妹,hermana: hermana menor
daughter's daughter,Mandarin,Spanish,外孙女,nieta,外孙女: 女儿的女儿,nieta: hija de su hija
brother's daughter,Mandarin,Spanish,侄女,sobrina,侄女: 兄弟的女儿,sobrina: hija del hermano
paternal grandfather,Mandarin,Spanish,祖父,abuelo,祖父: 爸爸的爸爸,abuelo: el papá de papá.
maternal grandfather,Mandarin,Spanish,外祖父,abuelo,外祖父: 妈妈的爸爸,abuelo: el papá de mamá.
"elder, son of mother's sibling",Mandarin,Spanish,表哥,primo,表哥: 更年长的男性表亲,primo: un primo mayor
elder brother,Mandarin,Spanish,哥哥,hermano,哥哥: 更年长的兄弟,hermano: el hermano mayor
maternal grandmother,Mandarin,Spanish,外祖母,abuela,外祖母: 妈妈的妈妈,abuela: madre de mamá
"elder, daughter of father's brother",Mandarin,Spanish,堂姐,prima,堂姐: 更年长的女性堂亲,prima: una prima mayor
younger brother,Mandarin,Spanish,弟弟,hermano,弟弟: 更年幼的兄弟,hermano: hermano menor
"younger, son of father's brother",Mandarin,Spanish,堂弟,primo,堂弟: 更年幼的男性堂亲,primo: un primo más joven.
"younger, son of mother's sibling",Mandarin,Spanish,表弟,primo,表弟: 更年轻的男性表亲,primo: un primo más joven.
maternal aunt,Mandarin,Spanish,姨妈,tía,姨妈: 妈妈的姐妹,tía: hermana de la madre
paternal aunt,Mandarin,Spanish,姑姑,tía,姑姑: 爸爸的姐妹,tía: hermana de papá
maternal uncle,Mandarin,Spanish,舅舅,tío,舅舅: 妈妈的兄弟,tío: hermano de mamá
paternal grandparent,Mandarin,Spanish,祖父母,abuelos,祖父母: 爸爸的父母,abuelos: los padres de papá.
maternal grandparent,Mandarin,Spanish,外祖父母,abuelos,外祖父母: 妈妈的父母,abuelos: los padres de mamá.
father's younger brother,Mandarin,Spanish,叔叔,tío,叔叔: 爸爸的弟弟,tío: hermano menor de papá.
father's elder brother,Mandarin,Spanish,伯伯,tío,伯伯: 爸爸的哥哥,tío: hermano de papá.
cousin,English,Spanish,cousin,primo,cousin: child of your aunt or uncle,primo: hijo de tu tía o tío
grandson,English,Spanish,grandson,nieto,grandson: male grandchild,nieto: nieto varón
granddaughter,English,Spanish,granddaughter,nieta,granddaughter: female grandchild,nieta: nieta
grandparent,English,Spanish,grandparent,abuelo,grandparent: parent of your father or mother,abuelo: padre de tu padre o madre
grandfather,English,Spanish,grandfather,abuelo,grandfather: father of your father or mother,abuelo: padre de tu padre o de tu madre
grandmother,English,Spanish,grandmother,abuela,grandmother: mother of your father or mother,abuela: madre de tu padre o madre
nephew,English,Spanish,nephew,sobrino,nephew: son of your brother or sister,sobrino: hijo de tu hermano o hermana
niece,English,Spanish,niece,sobrina,niece: daughter of your brother or sister,sobrina: hija de tu hermano o hermana
uncle,English,Spanish,uncle,tío,uncle: brother of your father or mother,tío: hermano de tu padre o de tu madre
aunt,English,Spanish,aunt,tía,aunt: sister of your father or mother,tía: hermana de tu padre o madre
brother,English,Spanish,brother,hermano,brother: males with the same parents as you,hermano: varones con los mismos padres que tú
sister,English,Spanish,sister,hermana,sister: females with the same parents as you,hermana: mujeres con los mismos padres que tú
paternal uncle,Polish,Spanish,stryjek,tío,stryjek: wujka ze strony ojca,tío: un tío por parte del padre
female cousin,Spanish,Spanish,prima,prima,prima: hija de tía o tío,prima: hija de tía o tío
male cousin,Spanish,Spanish,primo,primo,primo: hijo de tía o tío,primo: hijo de tía o tío
son of father's brother,Persian,Spanish,پسرعمو‎,primo,پسرعمو‎: پسر برادر پدر‎,primo: hijo del hermano del padre.
daughter of father's brother,Persian,Spanish,دخترعمو‎,prima,دخترعمو‎: دختر برادر پدر‎,prima: hija del hermano del padre.
son of father's sister,Persian,Spanish,پسرعمه‎,primo,پسرعمه‎: پسر خواهر پدر‎,primo: hijo de la hermana del padre.
daughter of father's sister,Persian,Spanish,دخترعمه‎,prima,دخترعمه‎: دختر خواهر پدر‎,prima: hija de la hermana del padre.
son of mother's brother,Persian,Spanish,پسردائی‎,primo,پسردائی‎: پسر برادر مادر‎,primo: hijo del hermano de la madre.
daughter of mother's brother,Persian,Spanish,دختردائی‎,nuera,دختردائی‎: دختر برادر مادر‎,nuera: hija del hermano de la madre.
son of mother's sister,Persian,Spanish,پسرخاله‎,primo,پسرخاله‎: پسر خواهر مادر‎,primo: hijo de la hermana de la madre.
daughter of mother's sister,Persian,Spanish,دخترخاله‎,tía,دخترخاله‎: دختر خواهر مادر‎,tía: hija de la hermana de la madre.
child of father's brother,Turkish,Spanish,amcaçocuğu,primo,amcaçocuğu: babanın erkek kardeşinin çocuğu,primo: hijo del hermano del padre
child of father's sister,Turkish,Spanish,halaçocuğu,hijo de la tía,halaçocuğu: babanın kız kardeşinin çocuğu,hijo de la tía: hijo de la hermana del padre
child of mother's brother,Turkish,Spanish,dayıçocuğu,hijo del tío materno,dayıçocuğu: annenin erkek kardeşinin çocuğu,hijo del tío materno: hijo del hermano de la madre
child of mother's sister,Turkish,Spanish,teyzeçocuğu,hijo de la tía,teyzeçocuğu: annenin kız kardeşinin çocuğu,hijo de la tía: hijo de la hermana de la madre
nibling,Turkish,Spanish,yeğen,sobrino,yeğen: erkek veya kız kardeşinizin çocuğu,sobrino: hijo de tu hermano o hermana
elder male cousin,Japanese,Spanish,従兄,primo,従兄: 年上の男性のいとこ,primo: primo mayor
younger male cousin,Japanese,Spanish,従弟,primo,従弟: 年下の男性のいとこ,primo: un primo más joven
elder female cousin,Japanese,Spanish,従姉,prima,従姉: 年上の女性のいとこ,prima: prima mayor
younger female cousin,Japanese,Spanish,従妹,prima,従妹: 年下の女性のいとこ,prima: una prima más joven
son of parent's brother,Estonian,Spanish,onupoeg,primo,onupoeg: lapsevanema venna poeg,primo: el hijo del hermano de un padre
daughter of parent's brother,Estonian,Spanish,onutütar,prima,onutütar: lapsevanema venna tütar,prima: la hija del hermano de un padre
son of parent's sister,Estonian,Spanish,tädipoeg,primo,tädipoeg: lapsevanema õe poeg,primo: el hijo de la hermana de un padre
daughter of parent's sister,Estonian,Spanish,täditütar,sobrina,täditütar: lapsevanema õe tütar,sobrina: hija de la hermana de un padre
younger sibling,Korean,Spanish,동생,hermano menor,동생: 남동생이나여동생,hermano menor: hermano menor o hermana menor
elder sibling,Hungarian,Spanish,nagytestvér,hermano mayor,nagytestvér: idősebb testvér vagy idősebb nővér,hermano mayor: hermano mayor o hermana mayor
