Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
sibling,English,Polish,sibling,rodzeństwo,sibling: brother or sister,rodzeństwo: brat lub siostra
grandchild,English,Polish,grandchild,wnuk,grandchild: child of son or daughter,wnuk: dziecko syna lub córki
brother's son,Mandarin,Polish,侄子,siostrzeniec,侄子: 兄弟的儿子,siostrzeniec: syn brata
son's daughter,Mandarin,Polish,孙女,wnuczka,孙女: 儿子的女儿,wnuczka: córka syna
elder sister,Mandarin,Polish,姐姐,siostra,姐姐: 更年长的姐妹,siostra: starsza siostra
daughter's son,Mandarin,Polish,外孙,wnuk,外孙: 女儿的儿子,wnuk: syn córki
"elder, daughter of mother's sibling",Mandarin,Polish,表姐,kuzynka,表姐: 更年长的女性表亲,kuzynka: starsza kuzynka
sister's son,Mandarin,Polish,外甥,siostrzeniec,外甥: 姐妹的儿子,siostrzeniec: syn siostry
"younger, daughter of father's brother",Mandarin,Polish,堂妹,kuzyn,堂妹: 更年轻的女性堂亲,kuzyn: młodsza kuzynka
paternal grandmother,Mandarin,Polish,祖母,babcia,祖母: 爸爸的妈妈,babcia: matka taty
"younger, daughter of mother's sibling",Mandarin,Polish,表妹,kuzyn,表妹: 更年轻的女性表亲,kuzyn: młodsza kuzynka
"elder, son of father's brother",Mandarin,Polish,堂哥,kuzyn,堂哥: 更年长的男性堂亲,kuzyn: starszy kuzyn
son's son,Mandarin,Polish,孙子,wnuk,孙子: 儿子的儿子,wnuk: syn syna
sister's daughter,Mandarin,Polish,甥女,siostrzenica,甥女: 姐妹的女儿,siostrzenica: córka siostry
younger sister,Mandarin,Polish,妹妹,siostra,妹妹: 更年轻的姐妹,siostra: młodsza siostra
daughter's daughter,Mandarin,Polish,外孙女,wnuczka,外孙女: 女儿的女儿,wnuczka: córka córki
brother's daughter,Mandarin,Polish,侄女,siostrzenica,侄女: 兄弟的女儿,siostrzenica: córka brata
paternal grandfather,Mandarin,Polish,祖父,dziadek,祖父: 爸爸的爸爸,dziadek: tata taty
maternal grandfather,Mandarin,Polish,外祖父,dziadek,外祖父: 妈妈的爸爸,dziadek: tata mamy
"elder, son of mother's sibling",Mandarin,Polish,表哥,kuzyn,表哥: 更年长的男性表亲,kuzyn: starszy kuzyn
elder brother,Mandarin,Polish,哥哥,brat,哥哥: 更年长的兄弟,brat: starszy brat
maternal grandmother,Mandarin,Polish,外祖母,babcia,外祖母: 妈妈的妈妈,babcia: matka mamy
"elder, daughter of father's brother",Mandarin,Polish,堂姐,kuzyn,堂姐: 更年长的女性堂亲,kuzyn: starsza kuzynka
younger brother,Mandarin,Polish,弟弟,brat,弟弟: 更年幼的兄弟,brat: młodszy brat
"younger, son of father's brother",Mandarin,Polish,堂弟,kuzyn,堂弟: 更年幼的男性堂亲,kuzyn: młodszy kuzyn płci męskiej
"younger, son of mother's sibling",Mandarin,Polish,表弟,kuzyn,表弟: 更年轻的男性表亲,kuzyn: młodszy kuzyn płci męskiej
maternal aunt,Mandarin,Polish,姨妈,ciocia,姨妈: 妈妈的姐妹,ciocia: siostra mamy
paternal aunt,Mandarin,Polish,姑姑,ciotka,姑姑: 爸爸的姐妹,ciotka: siostra taty
maternal uncle,Mandarin,Polish,舅舅,wujek,舅舅: 妈妈的兄弟,wujek: brat mamy
paternal grandparent,Mandarin,Polish,祖父母,dziadkowie,祖父母: 爸爸的父母,dziadkowie: rodzice taty
maternal grandparent,Mandarin,Polish,外祖父母,dziadkowie,外祖父母: 妈妈的父母,dziadkowie: rodzice mamy
father's younger brother,Mandarin,Polish,叔叔,wujek,叔叔: 爸爸的弟弟,wujek: młodszy brat taty
father's elder brother,Mandarin,Polish,伯伯,wujek,伯伯: 爸爸的哥哥,wujek: brat taty
cousin,English,Polish,cousin,kuzyn,cousin: child of your aunt or uncle,kuzyn: dziecko twojej ciotki lub wujka
grandson,English,Polish,grandson,wnuk,grandson: male grandchild,wnuk: wnuk płci męskiej
granddaughter,English,Polish,granddaughter,wnuczka,granddaughter: female grandchild,wnuczka: wnuczka
grandparent,English,Polish,grandparent,dziadek,grandparent: parent of your father or mother,dziadek: rodzic twojego ojca lub matki
grandfather,English,Polish,grandfather,dziadek,grandfather: father of your father or mother,dziadek: ojciec twojego ojca lub matki
grandmother,English,Polish,grandmother,babcia,grandmother: mother of your father or mother,babcia: matka twojego ojca lub matki
nephew,English,Polish,nephew,siostrzeniec,nephew: son of your brother or sister,siostrzeniec: syn twojego brata lub siostry
niece,English,Polish,niece,siostrzenica,niece: daughter of your brother or sister,siostrzenica: córka twojego brata lub siostry
uncle,English,Polish,uncle,wujek,uncle: brother of your father or mother,wujek: brat twojego ojca lub matki
aunt,English,Polish,aunt,ciocia,aunt: sister of your father or mother,ciocia: siostra twojego ojca lub matki
brother,English,Polish,brother,brat,brother: males with the same parents as you,brat: mężczyźni z tymi samymi rodzicami co ty
sister,English,Polish,sister,siostra,sister: females with the same parents as you,siostra: kobiety z tymi samymi rodzicami co ty
