Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
sibling,English,Hindi,sibling,सहोदर,sibling: brother or sister,सहोदर: भाई या बहन
grandchild,English,Hindi,grandchild,पोता-पोता,grandchild: child of son or daughter,पोता-पोता: बेटे या बेटी की संतान
brother's son,Mandarin,Hindi,侄子,भतीजा,侄子: 兄弟的儿子,भतीजा: भाई का बेटा
son's daughter,Mandarin,Hindi,孙女,पोती,孙女: 儿子的女儿,पोती: बेटे की बेटी
elder sister,Mandarin,Hindi,姐姐,बहन,姐姐: 更年长的姐妹,बहन: बड़ी बहन
daughter's son,Mandarin,Hindi,外孙,पोता,外孙: 女儿的儿子,पोता: बेटी का बेटा
"elder, daughter of mother's sibling",Mandarin,Hindi,表姐,चचेरी बहन,表姐: 更年长的女性表亲,चचेरी बहन: एक बड़ी उम्र की चचेरी बहन
sister's son,Mandarin,Hindi,外甥,भतीजा,外甥: 姐妹的儿子,भतीजा: बहन का बेटा
"younger, daughter of father's brother",Mandarin,Hindi,堂妹,चचेरी बहन,堂妹: 更年轻的女性堂亲,चचेरी बहन: एक छोटी महिला चचेरी बहन
paternal grandmother,Mandarin,Hindi,祖母,दादी,祖母: 爸爸的妈妈,दादी: पिताजी की माँ
"younger, daughter of mother's sibling",Mandarin,Hindi,表妹,चचेरी बहन,表妹: 更年轻的女性表亲,चचेरी बहन: एक छोटी महिला चचेरी बहन
"elder, son of father's brother",Mandarin,Hindi,堂哥,चचेरा भाई,堂哥: 更年长的男性堂亲,चचेरा भाई: एक वृद्ध पुरुष चचेरा भाई
son's son,Mandarin,Hindi,孙子,पोता,孙子: 儿子的儿子,पोता: पुत्र का पुत्र
sister's daughter,Mandarin,Hindi,甥女,भतीजी,甥女: 姐妹的女儿,भतीजी: बहन की बेटी
younger sister,Mandarin,Hindi,妹妹,बहन,妹妹: 更年轻的姐妹,बहन: छोटी बहन
daughter's daughter,Mandarin,Hindi,外孙女,पोती,外孙女: 女儿的女儿,पोती: बेटी की बेटी
brother's daughter,Mandarin,Hindi,侄女,भतीजी,侄女: 兄弟的女儿,भतीजी: भाई की बेटी
paternal grandfather,Mandarin,Hindi,祖父,दादाजी,祖父: 爸爸的爸爸,दादाजी: पिताजी के पिता
maternal grandfather,Mandarin,Hindi,外祖父,दादाजी,外祖父: 妈妈的爸爸,दादाजी: माँ के पिताजी
"elder, son of mother's sibling",Mandarin,Hindi,表哥,चचेरा भाई,表哥: 更年长的男性表亲,चचेरा भाई: एक वृद्ध पुरुष चचेरा भाई
elder brother,Mandarin,Hindi,哥哥,भाई,哥哥: 更年长的兄弟,भाई: बड़ा भाई
maternal grandmother,Mandarin,Hindi,外祖母,दादी,外祖母: 妈妈的妈妈,दादी: माँ की माँ
"elder, daughter of father's brother",Mandarin,Hindi,堂姐,चचेरी बहन,堂姐: 更年长的女性堂亲,चचेरी बहन: एक बड़ी उम्र की चचेरी बहन
younger brother,Mandarin,Hindi,弟弟,भाई,弟弟: 更年幼的兄弟,भाई: छोटा भाई
"younger, son of father's brother",Mandarin,Hindi,堂弟,चचेरा भाई,堂弟: 更年幼的男性堂亲,चचेरा भाई: एक छोटा पुरुष चचेरा भाई
"younger, son of mother's sibling",Mandarin,Hindi,表弟,चचेरा भाई,表弟: 更年轻的男性表亲,चचेरा भाई: एक छोटा पुरुष चचेरा भाई
maternal aunt,Mandarin,Hindi,姨妈,चाची,姨妈: 妈妈的姐妹,चाची: माँ की बहन
paternal aunt,Mandarin,Hindi,姑姑,चाची,姑姑: 爸爸的姐妹,चाची: पिताजी की बहन
maternal uncle,Mandarin,Hindi,舅舅,चाचा,舅舅: 妈妈的兄弟,चाचा: माँ का भाई
paternal grandparent,Mandarin,Hindi,祖父母,दादा-दादी,祖父母: 爸爸的父母,दादा-दादी: पिताजी के माता-पिता
maternal grandparent,Mandarin,Hindi,外祖父母,दादा-दादी,外祖父母: 妈妈的父母,दादा-दादी: माँ के माता-पिता
father's younger brother,Mandarin,Hindi,叔叔,चाचा,叔叔: 爸爸的弟弟,चाचा: पिताजी का छोटा भाई
father's elder brother,Mandarin,Hindi,伯伯,चाचा,伯伯: 爸爸的哥哥,चाचा: पिताजी का भाई
cousin,English,Hindi,cousin,चचेरा भाई,cousin: child of your aunt or uncle,चचेरा भाई: आपकी चाची या चाचा की संतान
grandson,English,Hindi,grandson,पोता,grandson: male grandchild,पोता: पुरुष पोता
granddaughter,English,Hindi,granddaughter,पोती,granddaughter: female grandchild,पोती: महिला पोती
grandparent,English,Hindi,grandparent,दादा-दादी,grandparent: parent of your father or mother,दादा-दादी: आपके पिता या माता के माता-पिता
grandfather,English,Hindi,grandfather,दादा,grandfather: father of your father or mother,दादा: आपके पिता या माता के पिता
grandmother,English,Hindi,grandmother,दादी,grandmother: mother of your father or mother,दादी: आपके पिता या माता की माँ
nephew,English,Hindi,nephew,भतीजा,nephew: son of your brother or sister,भतीजा: आपके भाई या बहन का बेटा
niece,English,Hindi,niece,भतीजी,niece: daughter of your brother or sister,भतीजी: आपके भाई या बहन की बेटी
uncle,English,Hindi,uncle,चाचा,uncle: brother of your father or mother,चाचा: तुम्हारे पिता या माता का भाई
aunt,English,Hindi,aunt,चाची,aunt: sister of your father or mother,चाची: आपके पिता या माता की बहन
brother,English,Hindi,brother,भाई,brother: males with the same parents as you,भाई: आपके समान माता-पिता वाले पुरुष
sister,English,Hindi,sister,बहन,sister: females with the same parents as you,बहन: आपके समान माता-पिता वाली महिलाएं
paternal uncle,Polish,Hindi,stryjek,चाचा,stryjek: wujka ze strony ojca,चाचा: पिता की ओर से चाचा
female cousin,Spanish,Hindi,prima,चचेरा भाई,prima: hija de tía o tío,चचेरा भाई: चाची या चाचा की बेटी
male cousin,Spanish,Hindi,primo,चचेरा भाई,primo: hijo de tía o tío,चचेरा भाई: चाची या चाचा का बेटा
