Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
sibling,English,Hungarian,sibling,testvér,sibling: brother or sister,testvér: testvér vagy testvér
grandchild,English,Hungarian,grandchild,unoka,grandchild: child of son or daughter,unoka: fia vagy lánya gyermeke
brother's son,Mandarin,Hungarian,侄子,unokaöccs,侄子: 兄弟的儿子,unokaöccs: testvér fia
son's daughter,Mandarin,Hungarian,孙女,unokája,孙女: 儿子的女儿,unokája: fiú lánya
elder sister,Mandarin,Hungarian,姐姐,nővére,姐姐: 更年长的姐妹,nővére: idősebb nővér
daughter's son,Mandarin,Hungarian,外孙,unoka,外孙: 女儿的儿子,unoka: a lánya fia
"elder, daughter of mother's sibling",Mandarin,Hungarian,表姐,unokatestvére,表姐: 更年长的女性表亲,unokatestvére: idősebb női unokatestvér
sister's son,Mandarin,Hungarian,外甥,unokaöccse,外甥: 姐妹的儿子,unokaöccse: nővér fia
"younger, daughter of father's brother",Mandarin,Hungarian,堂妹,unokatestvére,堂妹: 更年轻的女性堂亲,unokatestvére: egy fiatalabb nő unokatestvére
paternal grandmother,Mandarin,Hungarian,祖母,nagymama,祖母: 爸爸的妈妈,nagymama: apa anyja
"younger, daughter of mother's sibling",Mandarin,Hungarian,表妹,unokatestvére,表妹: 更年轻的女性表亲,unokatestvére: egy fiatalabb nő unokatestvére
"elder, son of father's brother",Mandarin,Hungarian,堂哥,unokatestvér,堂哥: 更年长的男性堂亲,unokatestvér: egy idősebb férfi unokatestvér
son's son,Mandarin,Hungarian,孙子,unokája,孙子: 儿子的儿子,unokája: fia fia
sister's daughter,Mandarin,Hungarian,甥女,unokahúga,甥女: 姐妹的女儿,unokahúga: nővér lánya
younger sister,Mandarin,Hungarian,妹妹,nővére,妹妹: 更年轻的姐妹,nővére: húga
daughter's daughter,Mandarin,Hungarian,外孙女,unokája,外孙女: 女儿的女儿,unokája: lánya lánya
brother's daughter,Mandarin,Hungarian,侄女,unokahúga,侄女: 兄弟的女儿,unokahúga: a testvér lánya
paternal grandfather,Mandarin,Hungarian,祖父,nagyapa,祖父: 爸爸的爸爸,nagyapa: apa apja
maternal grandfather,Mandarin,Hungarian,外祖父,nagyapa,外祖父: 妈妈的爸爸,nagyapa: anya apja
"elder, son of mother's sibling",Mandarin,Hungarian,表哥,unokatestvér,表哥: 更年长的男性表亲,unokatestvér: egy idősebb férfi unokatestvér
elder brother,Mandarin,Hungarian,哥哥,testvér,哥哥: 更年长的兄弟,testvér: az idősebb testvér
maternal grandmother,Mandarin,Hungarian,外祖母,nagymama,外祖母: 妈妈的妈妈,nagymama: anya anyja
"elder, daughter of father's brother",Mandarin,Hungarian,堂姐,unokatestvére,堂姐: 更年长的女性堂亲,unokatestvére: egy idősebb nő unokatestvére
younger brother,Mandarin,Hungarian,弟弟,testvér,弟弟: 更年幼的兄弟,testvér: öccs
"younger, son of father's brother",Mandarin,Hungarian,堂弟,unokatestvére,堂弟: 更年幼的男性堂亲,unokatestvére: egy fiatalabb férfi unokatestvér
"younger, son of mother's sibling",Mandarin,Hungarian,表弟,unokatestvére,表弟: 更年轻的男性表亲,unokatestvére: egy fiatalabb férfi unokatestvér
maternal aunt,Mandarin,Hungarian,姨妈,néni,姨妈: 妈妈的姐妹,néni: anyja nővére
paternal aunt,Mandarin,Hungarian,姑姑,nagynéni,姑姑: 爸爸的姐妹,nagynéni: apu nővére
