Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
sibling,English,Mongolian,sibling,ах эгч,sibling: brother or sister,ах эгч: ах эсвэл эгч
grandchild,English,Mongolian,grandchild,ач,grandchild: child of son or daughter,ач: хүү эсвэл охины хүүхэд
brother's son,Mandarin,Mongolian,侄子,зээ,侄子: 兄弟的儿子,зээ: ахын хүү
son's daughter,Mandarin,Mongolian,孙女,ач охин,孙女: 儿子的女儿,ач охин: хүүгийн охин
elder sister,Mandarin,Mongolian,姐姐,эгч,姐姐: 更年长的姐妹,эгч: эгч
daughter's son,Mandarin,Mongolian,外孙,ач хүү,外孙: 女儿的儿子,ач хүү: охины хүү
"elder, daughter of mother's sibling",Mandarin,Mongolian,表姐,үеэл,表姐: 更年长的女性表亲,үеэл: ахимаг насны эмэгтэй үеэл
sister's son,Mandarin,Mongolian,外甥,зээ,外甥: 姐妹的儿子,зээ: эгчийн хүү
"younger, daughter of father's brother",Mandarin,Mongolian,堂妹,үеэл,堂妹: 更年轻的女性堂亲,үеэл: өөрөөсөө дүү эмэгтэй үеэл
paternal grandmother,Mandarin,Mongolian,祖母,эмээ,祖母: 爸爸的妈妈,эмээ: аавын ээж
"younger, daughter of mother's sibling",Mandarin,Mongolian,表妹,үеэл,表妹: 更年轻的女性表亲,үеэл: өөрөөсөө дүү эмэгтэй үеэл
"elder, son of father's brother",Mandarin,Mongolian,堂哥,үеэл,堂哥: 更年长的男性堂亲,үеэл: ахимаг насны эрэгтэй үеэл
son's son,Mandarin,Mongolian,孙子,ач хүү,孙子: 儿子的儿子,ач хүү: хүүгийн хүү
sister's daughter,Mandarin,Mongolian,甥女,зээ,甥女: 姐妹的女儿,зээ: эгчийн охин
younger sister,Mandarin,Mongolian,妹妹,эгч,妹妹: 更年轻的姐妹,эгч: дүү
daughter's daughter,Mandarin,Mongolian,外孙女,ач охин,外孙女: 女儿的女儿,ач охин: охины охин
brother's daughter,Mandarin,Mongolian,侄女,зээ,侄女: 兄弟的女儿,зээ: ахын охин
paternal grandfather,Mandarin,Mongolian,祖父,өвөө,祖父: 爸爸的爸爸,өвөө: аавын аав
maternal grandfather,Mandarin,Mongolian,外祖父,өвөө,外祖父: 妈妈的爸爸,өвөө: ээжийн аав
"elder, son of mother's sibling",Mandarin,Mongolian,表哥,үеэл,表哥: 更年长的男性表亲,үеэл: ахимаг насны эрэгтэй үеэл
elder brother,Mandarin,Mongolian,哥哥,ах,哥哥: 更年长的兄弟,ах: ах
maternal grandmother,Mandarin,Mongolian,外祖母,эмээ,外祖母: 妈妈的妈妈,эмээ: ээжийн ээж
"elder, daughter of father's brother",Mandarin,Mongolian,堂姐,үеэл,堂姐: 更年长的女性堂亲,үеэл: хуучин эмэгтэй үеэл
younger brother,Mandarin,Mongolian,弟弟,ах,弟弟: 更年幼的兄弟,ах: дүү
"younger, son of father's brother",Mandarin,Mongolian,堂弟,үеэл,堂弟: 更年幼的男性堂亲,үеэл: бага эрэгтэй үеэл
"younger, son of mother's sibling",Mandarin,Mongolian,表弟,үеэл,表弟: 更年轻的男性表亲,үеэл: бага эрэгтэй үеэл
maternal aunt,Mandarin,Mongolian,姨妈,нагац эгч,姨妈: 妈妈的姐妹,нагац эгч: ээжийн эгч
paternal aunt,Mandarin,Mongolian,姑姑,нагац эгч,姑姑: 爸爸的姐妹,нагац эгч: аавын эгч
