Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
sibling,English,English,sibling,sibling,sibling: brother or sister,sibling: brother or sister
grandchild,English,English,grandchild,grandchild,grandchild: child of son or daughter,grandchild: child of son or daughter
brother's son,Mandarin,English,侄子,nephew,侄子: 兄弟的儿子,nephew: brother’s son
son's daughter,Mandarin,English,孙女,granddaughter,孙女: 儿子的女儿,granddaughter: son’s daughter
elder sister,Mandarin,English,姐姐,sister,姐姐: 更年长的姐妹,sister: older sister
daughter's son,Mandarin,English,外孙,grandson,外孙: 女儿的儿子,grandson: daughter’s son
"elder, daughter of mother's sibling",Mandarin,English,表姐,cousin,表姐: 更年长的女性表亲,cousin: an older female cousin
sister's son,Mandarin,English,外甥,nephew,外甥: 姐妹的儿子,nephew: sister’s son
"younger, daughter of father's brother",Mandarin,English,堂妹,cousin,堂妹: 更年轻的女性堂亲,cousin: a younger female cousin
paternal grandmother,Mandarin,English,祖母,grandmother,祖母: 爸爸的妈妈,grandmother: dad’s mother
"younger, daughter of mother's sibling",Mandarin,English,表妹,cousin,表妹: 更年轻的女性表亲,cousin: a younger female cousin
"elder, son of father's brother",Mandarin,English,堂哥,cousin,堂哥: 更年长的男性堂亲,cousin: an older male cousin
son's son,Mandarin,English,孙子,grandson,孙子: 儿子的儿子,grandson: son of son
sister's daughter,Mandarin,English,甥女,niece,甥女: 姐妹的女儿,niece: sister's daughter
younger sister,Mandarin,English,妹妹,sister,妹妹: 更年轻的姐妹,sister: younger sister
daughter's daughter,Mandarin,English,外孙女,granddaughter,外孙女: 女儿的女儿,granddaughter: daughter’s daughter
brother's daughter,Mandarin,English,侄女,niece,侄女: 兄弟的女儿,niece: brother’s daughter
paternal grandfather,Mandarin,English,祖父,grandfather,祖父: 爸爸的爸爸,grandfather: dad’s dad
maternal grandfather,Mandarin,English,外祖父,grandfather,外祖父: 妈妈的爸爸,grandfather: mom’s dad
"elder, son of mother's sibling",Mandarin,English,表哥,cousin,表哥: 更年长的男性表亲,cousin: an older male cousin
elder brother,Mandarin,English,哥哥,brother,哥哥: 更年长的兄弟,brother: the older brother
maternal grandmother,Mandarin,English,外祖母,grandmother,外祖母: 妈妈的妈妈,grandmother: mom’s mother
"elder, daughter of father's brother",Mandarin,English,堂姐,cousin,堂姐: 更年长的女性堂亲,cousin: an older female cousin
younger brother,Mandarin,English,弟弟,brother,弟弟: 更年幼的兄弟,brother: younger brother
