Concept,Source language,Target Language,Source Word,Target Word,Query,Query translation
sibling,English,Mandarin,sibling,兄弟姐妹,sibling: brother or sister,兄弟姐妹：兄弟或姐妹
grandchild,English,Mandarin,grandchild,孙子或孙女,grandchild: child of son or daughter,孙子或孙女：儿子或女儿的孩子
brother's son,Mandarin,Mandarin,侄子,侄子,侄子: 兄弟的儿子,侄子: 兄弟的儿子
son's daughter,Mandarin,Mandarin,孙女,孙女,孙女: 儿子的女儿,孙女: 儿子的女儿
elder sister,Mandarin,Mandarin,姐姐,姐姐,姐姐: 更年长的姐妹,姐姐: 更年长的姐妹
daughter's son,Mandarin,Mandarin,外孙,外孙,外孙: 女儿的儿子,外孙: 女儿的儿子
"elder, daughter of mother's sibling",Mandarin,Mandarin,表姐,表姐,表姐: 更年长的女性表亲,表姐: 更年长的女性表亲
sister's son,Mandarin,Mandarin,外甥,外甥,外甥: 姐妹的儿子,外甥: 姐妹的儿子
"younger, daughter of father's brother",Mandarin,Mandarin,堂妹,堂妹,堂妹: 更年轻的女性堂亲,堂妹: 更年轻的女性堂亲
paternal grandmother,Mandarin,Mandarin,祖母,祖母,祖母: 爸爸的妈妈,祖母: 爸爸的妈妈
"younger, daughter of mother's sibling",Mandarin,Mandarin,表妹,表妹,表妹: 更年轻的女性表亲,表妹: 更年轻的女性表亲
"elder, son of father's brother",Mandarin,Mandarin,堂哥,堂哥,堂哥: 更年长的男性堂亲,堂哥: 更年长的男性堂亲
son's son,Mandarin,Mandarin,孙子,孙子,孙子: 儿子的儿子,孙子: 儿子的儿子
sister's daughter,Mandarin,Mandarin,甥女,甥女,甥女: 姐妹的女儿,甥女: 姐妹的女儿
younger sister,Mandarin,Mandarin,妹妹,妹妹,妹妹: 更年轻的姐妹,妹妹: 更年轻的姐妹
daughter's daughter,Mandarin,Mandarin,外孙女,外孙女,外孙女: 女儿的女儿,外孙女: 女儿的女儿
brother's daughter,Mandarin,Mandarin,侄女,侄女,侄女: 兄弟的女儿,侄女: 兄弟的女儿
paternal grandfather,Mandarin,Mandarin,祖父,祖父,祖父: 爸爸的爸爸,祖父: 爸爸的爸爸
maternal grandfather,Mandarin,Mandarin,外祖父,外祖父,外祖父: 妈妈的爸爸,外祖父: 妈妈的爸爸
"elder, son of mother's sibling",Mandarin,Mandarin,表哥,表哥,表哥: 更年长的男性表亲,表哥: 更年长的男性表亲
elder brother,Mandarin,Mandarin,哥哥,哥哥,哥哥: 更年长的兄弟,哥哥: 更年长的兄弟
maternal grandmother,Mandarin,Mandarin,外祖母,外祖母,外祖母: 妈妈的妈妈,外祖母: 妈妈的妈妈
